Name,Age,Position,Lifeboat,Survived,Class,HomeNation,PositionDetailed,Gender,AgeBinned
"Widener, Mr. Harry Elkins",27,P,,0,1,USA,Passenger,M,21-30
"Willard, Miss Constance",21,P,8,1,1,USA,Passenger,F,21-30
"Williams, Mr. Charles Duane",51,P,,0,1,Switzerland,Passenger,M,51-60
"Williams, Mr. Richard Norris II",21,P,A,1,1,Switzerland,Passenger,M,21-30
"Woolner, Mr. Hugh",45,P,D,1,1,England,Passenger,M,41-50
"Wright, Mr. George",62,P,,0,1,Canada,Passenger,M,61-70
"Young, Miss Marie Grice",36,P,8,1,1,USA,Passenger,F,31-40
"Abelson, Mr Samuel",30,P,,0,2,France,Passenger,M,21-30
"Abelson, Mrs Hannah",28,P,10,1,2,France,Passenger,F,21-30
"Andrew, Mr. Edgar Samuel",17,P,,0,2,Argentina,Passenger,M,11-20
"Andrew, Mr. Frank Thomas",30,P,,0,2,England,Passenger,M,21-30
"Angle, Mr. William A.",32,P,,0,2,England,Passenger,M,31-40
"Angle, Mrs. Florence Agnes ""Mary"" (née Hughes)",36,P,11,1,2,England,Passenger,F,31-40
"Ashby, Mr. John",57,P,,0,2,USA,Passenger,M,51-60
"Bailey, Mr. Percy Andrew",18,P,,0,2,England,Passenger,M,11-20
"Bainbrigge, Mr. Charles Robert",23,P,,0,2,Channel Islands,Passenger,M,21-30
"Ball, Mrs. Ada E. (née Hall)",36,P,10,1,2,England,Passenger,F,31-40
"Banfield, Mr. Frederick James",28,P,,0,2,England,Passenger,M,21-30
"Bateman, Father Robert James",51,P,,0,2,USA,Passenger,M,51-60
"Beane, Mr. Edward",32,P,13,1,2,USA,Passenger,M,31-40
Beane. Mrs. Ethel (née Clarke),19,P,13,1,2,England,Passenger,F,11-20
"Beauchamp, Mr. Henry James",28,P,,0,2,England,Passenger,M,21-30
"Becker, Mrs. Nellie E. (née Baumgardner)",35,P,11,1,2,India,Passenger,F,31-40
"Becker, Miss Ruth Elizabeth",12,P,13,1,2,India,Passenger,F,11-20
"Becker, Miss Marion Louise",4,P,11,1,2,India,Passenger,F,< 10
"Becker, Master Richard Frederick",1.5,P,11,1,2,India,Passenger,M,< 10
"Beesley, Mr. Lawrence",34,P,13,1,2,England,Passenger,M,31-40
"Bentham, Miss Lillian W.",19,P,12,1,2,USA,Passenger,F,11-20
"Berriman, Mr. William John",23,P,,0,2,England,Passenger,M,21-30
"Botsford, Mr. William Hull",25,P,,0,2,USA,Passenger,M,21-30
"Bowenur, Mr. Solomon",42,P,,0,2,England,Passenger,M,41-50
"Bracken, Mr. James H.",29,P,,0,2,USA,Passenger,M,21-30
"Brito, Mr. José Joaquim",32,P,,0,2,Portugal,Passenger,M,31-40
"Brown, Mr. Thomas William Solomon",60,P,,0,2,South Africa,Passenger,M,51-60
"Brown, Mrs. Elizabeth Catherine (née Ford)",40,P,14,1,2,South Africa,Passenger,F,31-40
"Brown, Miss Edith Eileen",15,P,14,1,2,South Africa,Passenger,F,11-20
"Bryhl, Mr. Kurt Arnold Gottfrid",25,P,,0,2,Sweden,Passenger,M,21-30
"Bryhl, Miss Dagmar Jenny Ingeborg",20,P,12,1,2,Sweden,Passenger,F,11-20
"Buss, Miss Kate",36,P,9,1,2,England,Passenger,F,31-40
"Butler, Mr. Reginald Fenton",25,P,,0,2,England,Passenger,M,21-30
"Byles, Father Thomas Roussel Davids",42,P,,0,2,England,Passenger,M,41-50
"Byström, Miss Karolina",42,P,?,1,2,USA,Passenger,F,41-50
"Caldwell, Mr. Albert Francis",26,P,13,1,2, Siam,Passenger,M,21-30
"Caldwell, Mrs. Sylvia Mae (née Harbaugh)",28,P,13,1,2,Siam,Passenger,F,21-30
"Caldwell, Master Alden Gates",1,P,13,1,2,Siam,Passenger,M,< 10
"Cameron, Miss Clear Annie",35,P,14,1,2,England,Passenger,F,31-40
"Campbell, Mr. William Henry[54]",21,P,,0,2,Ireland,Passenger,M,21-30
"Carbines, Mr. William",19,P,,0,2,England,Passenger,M,11-20
"Carter, Father Ernest Courtenay",54,P,,0,2,England,Passenger,M,51-60
"Carter, Mrs. Lilian (née Hughes)",45,P,,0,2,England,Passenger,F,41-50
"Chapman, Mr. Charles Henry",52,P,,0,2,USA,Passenger,M,51-60
"Chapman, Mr. John Henry",36,P,,0,2,England,Passenger,M,31-40
"Chapman, Mrs. Sara Elizabeth (née Lawry)",28,P,,0,2,England,Passenger,F,21-30
"Christy, Mrs. Alice Frances",45,P,12,1,2,England,Passenger,F,41-50
"Christy, Miss Rachel Julie Cohen",25,P,12,1,2,England,Passenger,F,21-30
"Clarke, Mr. Charles Valentine",29,P,,0,2,England,Passenger,M,21-30
"Clarke, Mrs. Ada Maria",28,P,14,1,2,England,Passenger,F,21-30
"Coleridge, Mr. Reginald Charles",29,P,,0,2,England,Passenger,M,21-30
"Collander, Mr. Erik Gustaf",27,P,,0,2,Finland,Passenger,M,21-30
"Collett, Mr. Sidney Clarence Stuart",25,P,9,1,2,England,Passenger,M,21-30
"Collyer, Mr. Harvey",31,P,,0,2,England,Passenger,M,31-40
"Collyer, Mrs. Charlotte Annie (née Tate)",31,P,14,1,2,England,Passenger,F,31-40
"Collyer, Miss Marjorie Charlotte ""Lottie""",8,P,14,1,2,England,Passenger,F,< 10
"Cook, Mrs. Selena (née Rogers)",22,P,14,1,2,England,Passenger,F,21-30
"Corbett, Mrs. Irene (née Colvin)",30,P,,0,2,USA,Passenger,F,21-30
"Corey, Mrs. Mary Phyllis Elizabeth (née Miller)",30,P,,0,2,USA,Passenger,F,21-30
"Cotterill, Mr. Henry ""Harry""",20,P,,0,2,England,Passenger,M,11-20
"Cunningham, Mr. Alfred Fleming[54]",21,P,,0,2,Ireland,Passenger,M,21-30
"Davies, Mr. Charles Henry",21,P,,0,2,England,Passenger,M,21-30
"Davies, Mrs. Elizabeth Agnes Mary (née White)",48,P,14,1,2,England,Passenger,F,41-50
"Davies, Master John Morgan Jr.",8,P,14,1,2,England,Passenger,M,< 10
"Davis, Miss Mary",28,P,13,1,2,England,Passenger,F,21-30
"Deacon, Mr. Percy William",20,P,,0,2,England,Passenger,M,11-20
"del Carlo, Mr. Sebastiano",29,P,,0,2,Italy,Passenger,M,21-30
"del Carlo, Mrs. Argene (née Genovesi)[52][61]",24,P,11,1,2,Italy,Passenger,F,21-30
"Denbuoy, Mr. Albert ""Herbert""",25,P,,0,2,Channel Islands,Passenger,M,21-30
"Dibden, Mr. William",18,P,,0,2,England,Passenger,M,11-20
"Doling, Mrs. Ada Julia (née Bone)",34,P,?,1,2,England,Passenger,F,31-40
"Doling, Miss Elsie",19,P,?,1,2,England,Passenger,F,11-20
"Douton, Mr. William Joseph",55,P,,0,2,USA,Passenger,M,51-60
"Drew, Mr. James Vivian",42,P,,0,2,USA,Passenger,M,41-50
"Drew, Mrs. Lulu Thorne (née Christian)",34,P,10,1,2,USA,Passenger,F,31-40
"Drew, Master Marshall Brines",8,P,10,1,2,USA,Passenger,M,< 10
"Duran y More, Miss Florentina",30,P,12,1,2,Spain,Passenger,F,21-30
"Duran y More, Miss Asunción",27,P,12,1,2,Spain,Passenger,F,21-30
"Eitemiller, Mr. George Floyd",23,P,,0,2,England,Passenger,M,21-30
"Enander, Mr. Ingvar",21,P,,0,2,Sweden,Passenger,M,21-30
"Fahlstrøm, Mr. Arne Joma",18,P,,0,2,Norway,Passenger,M,11-20
"Faunthorpe, Mr. Harry Bartram",40,P,,0,2,England,Passenger,M,31-40
"Fillbrook, Mr. Joseph Charles",18,P,,0,2,England,Passenger,M,11-20
"Fox, Mr. Stanley Hubert",38,P,,0,2,USA,Passenger,M,31-40
"Frost, Mr. Anthony Wood ""Archie""[54]",37,P,,0,2,Ireland,Passenger,M,31-40
"Funk, Miss Annie Clemmer",38,P,,0,2,India,Passenger,F,31-40
"Fynney, Mr. Joseph J.",35,P,,0,2,England,Passenger,M,31-40
"Gale, Mr. Harry",38,P,,0,2,England,Passenger,M,31-40
"Gale, Mr. Shadrach",33,P,,0,2,England,Passenger,M,31-40
"Garside, Miss Ethel",34,P,12,1,2,England,Passenger,F,31-40
"Gaskell, Mr. Alfred",16,P,,0,2,England,Passenger,M,11-20
"Gavey, Mr. Laurence",26,P,,0,2,Channel Islands,Passenger,M,21-30
"Gilbert, Mr. William",47,P,,0,2,England,Passenger,M,41-50
"Giles, Mr. Edgar",21,P,,0,2,England,Passenger,M,21-30
"Giles, Mr. Frederick Edward",20,P,,0,2,England,Passenger,M,11-20
"Giles, Mr. Ralph",25,P,,0,2,England,Passenger,M,21-30
"Gill, Mr. John William",24,P,,0,2,England,Passenger,M,21-30
"Gillespie, Mr. William Henry",34,P,,0,2,Ireland,Passenger,M,31-40
"Givard, Mr. Hans Kristensen",30,P,,0,2,Denmark,Passenger,M,21-30
"Greenberg, Mr. Samuel",52,P,,0,2,USA,Passenger,M,51-60
"Hale, Mr. Reginald",30,P,,0,2,USA,Passenger,M,21-30
"Hämäläinen, Mrs. Anna (Anna Hamlin)",24,P,4,1,2,USA,Passenger,F,21-30
"Hämäläinen, Master Viljo Unto Johannes (William Hamlin)",1,P,4,1,2,USA,Passenger,M,< 10
"Harbeck, Mr. William H.",44,P,,0,2,USA,Passenger,M,41-50
"Harper, The Reverend John",39,P,,0,2,England,Passenger,M,31-40
"Harper, Miss Annie Jessie ""Nina""",6,P,11,1,2,England,Passenger,F,< 10
"Harris, Mr. George",62,P,15,1,2,England,Passenger,M,61-70
"Harris, Mr. Walter",30,P,,0,2,England,Passenger,M,21-30
"Hart, Mr. Benjamin",47,P,,0,2,England,Passenger,M,41-50
"Hart, Mrs. Esther Ada (née Bloomfield)",48,P,14,1,2,England,Passenger,F,41-50
"Hart, Miss Eva Miriam",7,P,14,1,2,England,Passenger,F,< 10
"Herman, Mr. Samuel",49,P,,0,2,England,Passenger,M,41-50
"Herman, Mrs. Jane (née Laver)",48,P,9,1,2,England,Passenger,F,41-50
"Herman, Miss Alice",24,P,9,1,2,England,Passenger,F,21-30
"Herman, Miss Kate",24,P,9,1,2,England,Passenger,F,21-30
"Hewlett, Mrs. Mary Dunbar (née Kingcome)",56,P,13,1,2,India,Passenger,F,51-60
"Hickman, Mr. Lewis",30,P,,0,2,England,Passenger,M,21-30
"Hickman, Mr. Leonard Mark",24,P,,0,2,England,Passenger,M,21-30
"Hickman, Mr. Stanley George",20,P,,0,2,England,Passenger,M,11-20
"Hiltunen, Miss Marta",18,P,,0,2,Finland,Passenger,F,11-20
"Hocking, Mrs. Elizabeth ""Eliza"" (née Neads)",54,P,4,1,2,England,Passenger,F,51-60
"Hocking, Mr. Richard George",23,P,,0,2,USA,Passenger,M,21-30
"Hocking, Miss Ellen ""Nellie""",20,P,4,1,2,England,Passenger,F,11-20
"Hocking, Mr. Samuel James Metcalfe",36,P,,0,2,England,Passenger,M,31-40
"Hodges, Mr. Henry Price",50,P,,0,2,England,Passenger,M,41-50
"Hold, Mr. Stephen",44,P,,0,2,England,Passenger,M,41-50
"Hold, Mrs. Annie Margaret (née Hill)",29,P,10,1,2,England,Passenger,F,21-30
"Hood, Mr. Ambrose Jr.",21,P,,0,2,England,Passenger,M,21-30
"Hosono, Mr. Masabumi",41,P,10,1,2,Japan,Passenger,M,41-50
"Howard, Mr. Benjamin",63,P,,0,2,England,Passenger,M,61-70
"Howard, Mrs. Ellen Truelove (née Arman)",60,P,,0,2,England,Passenger,F,51-60
"Hunt, Mr. George Henry",33,P,,0,2,USA,Passenger,M,31-40
"Ilett, Miss Bertha",17,P,?,1,2,Channel Islands,Passenger,F,11-20
"Jacobsohn, Mr. Sidney Samuel",40,P,,0,2,England,Passenger,M,31-40
"Jacobsohn, Mrs. Amy Frances Christy (née Cohen)",24,P,12,1,2,England,Passenger,F,21-30
"Jarvis, Mr. Denzil John",47,P,,0,2,England,Passenger,M,41-50
"Jefferys, Mr. Clifford Thomas",24,P,,0,2,Channel Islands,Passenger,M,21-30
"Jefferys, Mr. Ernest Wilifred",22,P,,0,2,Channel Islands,Passenger,M,21-30
"Jenkin, Mr. Stephen Curnow",32,P,,0,2,England,Passenger,M,31-40
"Jerwan, Mrs. Marie Marthe (née Thuillard)",23,P,11,1,2,USA,Passenger,F,21-30
"Kantor, Mr. Sinai",34,P,,0,2,Russia,Passenger,M,31-40
"Kantor, Mrs. Miriam (née Sternin)",24,P,12,1,2,Russia,Passenger,F,21-30
"Karnes, Mrs. Claire (née Bennett)",28,P,,0,2,USA,Passenger,F,21-30
"Keane, Mr. Daniel",35,P,,0,2,Ireland,Passenger,M,31-40
"Keane, Miss Nora Agnes",46,P,10,1,2,Ireland,Passenger,F,41-50
"Kelly, Miss Florence ""Fannie""",45,P,9,1,2,England,Passenger,F,41-50
"Kirkland, Father Charles Leonard",52,P,,0,2,Scotland,Passenger,M,51-60
"Knight, Mr. Robert J.[54]",39,P,,0,2,Ireland,Passenger,M,31-40
"Kvillner, Mr. Johan Henrik Johannesson",31,P,,0,2,Sweden,Passenger,M,31-40
"Lahtinen, Reverend William",35,P,,0,2,USA,Passenger,M,31-40
"Lahtinen, Mrs. Anna Amelia (née Sylfvén)",26,P,,0,2,USA,Passenger,F,21-30
"Lamb, Mr. John Joseph",30,P,,0,2,Ireland,Passenger,M,21-30
"Laroche, Mr. Joseph Philippe Lemercier",25,P,--,0,2,France,Passenger,M,21-30
"Laroche, Mrs. Juliette Marie Louise (née Lafargue)[52][62]",22,P,14,1,2,France,Passenger,F,21-30
"Laroche, Miss Simoné Marie Anne Andrée",3,P,14,1,2,France,Passenger,F,< 10
"Laroche, Miss Louise Marguerite",1,P,14,1,2,France,Passenger,F,< 10
"Lehmann, Miss Bertha",17,P,12,1,2,Switzerland,Passenger,F,11-20
"Leitch, Miss Jessie Wills",31,P,11,1,2,England,Passenger,F,31-40
"Lemore, Mrs. Amelia ""Milley"" (née Hunt)",34,P,14,1,2,USA,Passenger,F,31-40
"Levy, Mr. René Jacques",36,P,,0,2,Canada,Passenger,M,31-40
"Leyson, Mr. Robert William Norman",25,P,,0,2,England,Passenger,M,21-30
"Linnane, Mr. John",61,P,,0,2,USA,Passenger,M,61-70
"Louch, Mr. Charles Alexander",50,P,,0,2,England,Passenger,M,41-50
"Louch, Mrs. Alice Adelaide (née Slow)",42,P,14,1,2,England,Passenger,F,41-50
"Mack, Mrs. Mary (née Lacy)",57,P,,0,2,England,Passenger,F,51-60
"Malachard, Mr. Jean-Noël",25,P,,0,2,France,Passenger,M,21-30
"Mallet, Mr. Albert",31,P,,0,2,Canada,Passenger,M,31-40
"Mallet, Mrs. Antoinette Marie (née Magnin)",24,P,10,1,2,Canada,Passenger,F,21-30
"Mallet, Master André Clément",1.5,P,10,1,2,Canada,Passenger,M,< 10
"Mangiavacchi, Mr. Serafino Emilio",30,P,,0,2,France,Passenger,M,21-30
"Matthews, Mr. William John",30,P,,0,2,England,Passenger,M,21-30
"Maybery, Mr. Frank Hubert",36,P,,0,2,England,Passenger,M,31-40
"McCrae, Mr. Arthur Gordon",32,P,,0,2,Australia,Passenger,M,31-40
"McCrie, Mr. James Matthew",32,P,,0,2,Canada,Passenger,M,31-40
"McKane, Mr. Peter David",46,P,,0,2,Channel Islands,Passenger,M,41-50
"Mellinger, Mrs. Elizabeth Anne (née Maidment)",41,P,14,1,2,England,Passenger,F,41-50
"Mellinger, Miss Madeleine Violet",13,P,14,1,2,England,Passenger,F,11-20
"Mellors, Mr. William John",19,P,B,1,2,England,Passenger,M,11-20
"Meyer, Mr. August",31,P,,0,2,England,Passenger,M,31-40
"Milling, Mr. Jacob Christian",48,P,,0,2,Denmark,Passenger,M,41-50
"Mitchell, Mr. Henry Michael",71,P,,0,2,Channel Islands,Passenger,M,71+
"Montvila, Father Juozas",27,P,,0,2,England,Passenger,M,21-30
"Moraweck, Dr. Ernest",54,P,,0,2,USA,Passenger,M,51-60
"Morley, Mr. Henry Samuel (alias Mr. Henry Marshall)",38,P,,0,2,England,Passenger,M,31-40
"Mudd, Mr. Thomas Charles",16,P,,0,2,England,Passenger,M,11-20
"Myles, Mr. Thomas Francis",63,P,,0,2,Ireland,Passenger,M,61-70
"Nassr Allah, Mr. Niqula Khalil",28,P,,0,2,Lebanon,Passenger,M,21-30
"Nassr Allah, Mrs. Adal (née Akim)[52][63]",14,P,?,1,2,Lebanon,Passenger,F,11-20
"Navratil, Mr. Michel (alias Louis M. Hoffman)",32,P,,0,2,France,Passenger,M,31-40
"Navratil, Master Michel Marcel",3,P,D,1,2,France,Passenger,M,< 10
"Navratil, Master Edmond Roger",2,P,D,1,2,France,Passenger,M,< 10
"Nesson, Mr. Israel",26,P,,0,2,England,Passenger,M,21-30
"Nicholls, Mr. Joseph Charles ""Joe""",19,P,,0,2,England,Passenger,M,11-20
"Norman, Mr. Robert Douglas",28,P,,0,2,Scotland,Passenger,M,21-30
"Nye, Mrs. Elizabeth (née Ramell)",29,P,11,1,2,USA,Passenger,F,21-30
"Otter, Mr. Richard",39,P,,0,2,USA,Passenger,M,31-40
"Oxenham, Mr. Percy Thomas",22,P,13,1,2,England,Passenger,M,21-30
"Padron Manent, Mr. Julian",26,P,9,1,2,Spain,Passenger,M,21-30
"Pain, Dr. Alfred ""Alf""",23,P,,0,2,Canada,Passenger,M,21-30
"Pallas y Castello, Mr. Emilio",29,P,9,1,2,Spain,Passenger,M,21-30
"Parker, Mr. Clifford Richard",28,P,,0,2,Channel Islands,Passenger,M,21-30
"Parkes, Mr. Francis ""Frank""[54]",18,P,,0,2,Ireland,Passenger,M,11-20
"Parrish, Mrs. Lutie Davis (née Temple)",60,P,12,1,2,USA,Passenger,F,51-60
"Pengelly, Mr. Frederick William",19,P,,0,2,England,Passenger,M,11-20
"Peruschitz, Father Josef",28,P,,0,2,Germany,Passenger,M,21-30
"Phillips, Mr. Escott Robert",42,P,,0,2,England,Passenger,M,41-50
"Phillips, Miss Alice Frances Louisa",21,P,12,1,2,England,Passenger,F,21-30
"Phillips, Miss Kate Florence (alias Mrs. Kate Marshall)[18][64]",19,P,11,1,2,England,Passenger,F,11-20
"Pinsky, Mrs. Rosa",21,P,9,1,2,USA,Passenger,F,21-30
"Ponesell, Mr. Martin",34,P,,0,2,England,Passenger,M,31-40
"Portaluppi, Mr. Emilio Ilario Giuseppe",34,P,14,1,2,USA,Passenger,M,31-40
"Pulbaum, Mr. Franz",27,P,,0,2,USA,Passenger,M,21-30
"Quick, Mrs. Jane (née Richards)",33,P,11,1,2,England,Passenger,F,31-40
"Quick, Miss Winnifred Vera",8,P,11,1,2,England,Passenger,F,< 10
"Quick, Miss Phyllis May",2,P,11,1,2,England,Passenger,F,< 10
"Reeves, Mr. David",36,P,,0,2,England,Passenger,M,31-40
"Renouf, Mr. Peter Henry",33,P,,0,2,USA,Passenger,M,31-40
"Renouf, Mrs. Lillian ""Lily"" (née Jefferys)",30,P,12,1,2,USA,Passenger,F,21-30
"Reynaldo, Miss Encarnación",28,P,9,1,2,Spain,Passenger,F,21-30
"Richard, Mr. Emile Philippe",23,P,,0,2,France,Passenger,M,21-30
"Richards, Mrs. Emily (née Hocking)",23,P,4,1,2,England,Passenger,F,21-30
"Richards, Master William Rowe",3,P,4,1,2,England,Passenger,M,< 10
"Richards, Master Sibley George",1,P,4,1,2,England,Passenger,M,< 10
"Ridsdale, Miss Lucy",50,P,13,1,2,England,Passenger,F,41-50
"Rogers, Mr. Reginald Harry",18,P,,0,2,England,Passenger,M,11-20
"Rugg, Miss Emily",21,P,12,1,2,Channel Islands,Passenger,F,21-30
"Schmidt, Mr. August",26,P,,0,2,USA,Passenger,M,21-30
"Sedgwick, Mr. Charles Frederick Waddington",25,P,,0,2,England,Passenger,M,21-30
"Sharp, Mr. Percival James",27,P,,0,2,England,Passenger,M,21-30
"Shelley, Mrs. Imanita (née Parrish Hall)",25,P,12,1,2,USA,Passenger,F,21-30
"Silvén, Miss Lyyli Karolina",17,P,16,1,2,Finland,Passenger,F,11-20
"Sincock, Miss Maude",20,P,11,1,2,England,Passenger,F,11-20
"Sinkkonen, Miss Anna",30,P,10,1,2,Finland,Passenger,F,21-30
"Sjöstedt, Mr. Ernst Adolf",30,P,10,1,2,Sweden,Passenger,M,21-30
"Slayter, Miss Hilda Mary",30,P,13,1,2,Canada,Passenger,F,21-30
"Slemen, Mr. Richard James",35,P,,0,2,England,Passenger,M,31-40
"Smith, Miss Marion Elsie",39,P,9,1,2,England,Passenger,F,31-40
"Sobey, Mr. Samuel James Hayden",25,P,,0,2,England,Passenger,M,21-30
"Stanton, Mr. Samuel Ward",42,P,,0,2,USA,Passenger,M,41-50
"Stokes, Mr. Philip Joseph",25,P,,0,2,England,Passenger,M,21-30
"Sweet, Mr. George Frederick",14,P,,0,2,England,Passenger,M,11-20
"Toomey, Miss Ellen Mary",48,P,9,1,2,USA,Passenger,F,41-50
"Troupiansky, Mr. Moses Aaron",23,P,,0,2,England,Passenger,M,21-30
"Trout, Mrs. Jessie L.",26,P,9,1,2,USA,Passenger,F,21-30
"Troutt, Miss Edwina Celia ""Winnie""",27,P,16,1,2,England,Passenger,F,21-30
"Turpin, Mr. William John Robert",29,P,,0,2,England,Passenger,M,21-30
"Turpin, Mrs. Dorothy Ann (née Wonnacott)",27,P,,0,2,England,Passenger,F,21-30
"Veal, Mr. James",40,P,,0,2,USA,Passenger,M,31-40
"Wallcroft, Miss Ellen ""Nellie""",36,P,14,1,2,England,Passenger,F,31-40
"Ware, Mr. John James",45,P,,0,2,England,Passenger,M,41-50
"Ware, Mrs. Florence Louise (née Long)",31,P,10,1,2,England,Passenger,F,31-40
"Ware, Mr. William Jeffery",23,P,,0,2,England,Passenger,M,21-30
"Watson, Mr. Ennis Hastings[54]",15,P,,0,2,Ireland,Passenger,M,11-20
"Watt, Mrs. Elizabeth Inglis ""Bessie"" (née Milne)",40,P,9,1,2,Scotland,Passenger,F,31-40
"Watt, Miss Robertha Josephine ""Bertha""",12,P,9,1,2,Scotland,Passenger,F,11-20
"Webber, Miss Susan",37,P,12,1,2,England,Passenger,F,31-40
"Weisz, Mr. Leopold",28,P,,0,2,England,Passenger,M,21-30
"Weisz, Mrs. Mathilde Françoise (née Pëde)",37,P,10,1,2,England,Passenger,F,31-40
"Wells, Mrs. Addie Dart (née Trevaskis)",29,P,14,1,2,England,Passenger,F,21-30
"Wells, Miss Joan",4,P,14,1,2,England,Passenger,F,< 10
"Wells, Master Ralph Lester",2,P,14,1,2,England,Passenger,M,< 10
"West, Mr. Edwy Arthur",36,P,,0,2,England,Passenger,M,31-40
"West, Mrs. Ada Mary (née Worth)[52][65]",33,P,10,1,2,England,Passenger,F,31-40
"West, Miss Constance Mirium",4,P,10,1,2,England,Passenger,F,< 10
"West, Miss Barbara Joyce",1,P,10,1,2,England,Passenger,F,< 10
"Wheadon, Mr. Edward H.",66,P,,0,2,Channel Islands,Passenger,M,61-70
"Wheeler, Mr. Edwin Charles ""Fred""",24,P,,0,2,England,Passenger,M,21-30
"Wilhelms, Mr. Charles",32,P,9,1,2,England,Passenger,M,31-40
"Wilkinson, Miss Elizabeth Anne (alias Mrs. Elizabeth Faunthorpe)",29,P,16,1,2,England,Passenger,F,21-30
"Williams, Mr. Charles Eugene",23,P,14,1,2,England,Passenger,M,21-30
"Wright, Miss Marion",26,P,9,1,2,England,Passenger,F,21-30
"Yvois, Miss Henriette",24,P,,0,2,France,Passenger,F,21-30
"Abbing, Mr. Anthony",42,P,--,0,3,USA,Passenger,M,41-50
"Abbott, Mrs. Rhonda Mary (née Hunt)",39,P,A,1,3,USA,Passenger,F,31-40
"Abbott, Mr. Rossmore Edward",16,P,--,0,3,USA,Passenger,M,11-20
"Abbott, Mr. Eugene Joseph",14,P,--,0,3,USA,Passenger,M,11-20
"Abelseth, Miss Karen Marie",16,P,16,1,3,Norway,Passenger,F,11-20
"Abelseth, Mr. Olaus Jørgensen",25,P,A,1,3,USA,Passenger,M,21-30
"Abrahamsson, Mr. Abraham August Johannes",20,P,15,1,3,Finland,Passenger,M,11-20
"Abrahim, Mrs. Mary Sophie Halaut (née Easu)",18,P,C,1,3,Lebanon,Passenger,F,11-20
"Adahl, Mr. Mauritz Nils Martin",30,P,--,0,3,Sweden,Passenger,M,21-30
"Adams, Mr. John",26,P,--,0,3,England,Passenger,M,21-30
"Ahlin, Mrs. Johanna Persdotter (née Larsson)",40,P,--,0,3,Sweden,Passenger,F,31-40
"Aks, Mrs. Leah (née Rosen)",18,P,13,1,3,England,Passenger,F,11-20
"Aks, Master Frank Philip",10 mths,P,11,1,3,England,Passenger,M,71+
"Albimona, Mr. Nassef Cassem",26,P,15,1,3,Lebanon,Passenger,M,21-30
"Alexander, Mr. William",23,P,--,0,3,England,Passenger,M,21-30
"Alhomäki, Mr. Ilmari Rudolf",19,P,--,0,3,Finland,Passenger,M,11-20
"Ali, Mr. William",25,P,--,0,3,Argentina,Passenger,M,21-30
"Ali, Mr. Ahmed",24,P,--,0,3,Argentina,Passenger,M,21-30
"Allen, Mr. William Henry",35,P,--,0,3,England,Passenger,M,31-40
"Allum, Mr. Owen George",15,P,--,0,3,England,Passenger,M,11-20
"Andersen, Mr. Albert Karvin",33,P,--,0,3,Norway,Passenger,M,31-40
"Andersen-Jensen, Miss Carla Christine",19,P,16,1,3,Denmark,Passenger,F,11-20
"Andersson, Mr. Anders Johan",39,P,--,0,3,Sweden,Passenger,M,31-40
"Andersson, Mrs. Alfrida Konstantia (née Brogren)",39,P,--,0,3,Sweden,Passenger,F,31-40
"Andersson, Miss Sigrid Elisabeth",11,P,--,0,3,Sweden,Passenger,F,11-20
"Andersson, Miss Ingeborg Constanzia",9,P,--,0,3,Sweden,Passenger,F,< 10
"Andersson, Miss Ebba Iris Alfrida",6,P,--,0,3,Sweden,Passenger,F,< 10
"Andersson, Master Sigvard Harald Elias",4,P,--,0,3,Sweden,Passenger,M,< 10
"Andersson, Miss Ellis Anna Maria",2,P,--,0,3,Sweden,Passenger,F,< 10
"Andersson, Miss Erna Alexandra",17,P,D,1,3,Finland,Passenger,F,11-20
"Andersson, Miss Ida Augusta Margareta",38,P,--,0,3,Sweden,Passenger,F,31-40
"Andersson, Mr. Johan Samuel",26,P,--,0,3,USA,Passenger,M,21-30
"Andreasson, Mr. Paul Edvin",20,P,--,0,3,Sweden,Passenger,M,11-20
"Angheloff, Mr. Minko",26,P,--,0,3,Bulgaria,Passenger,M,21-30
"Arnold-Franchi, Mr. Josef",25,P,--,0,3,Switzerland,Passenger,M,21-30
"Arnold-Franchi, Mrs. Josefine (née Franchi)",18,P,--,0,3,Switzerland,Passenger,F,11-20
"Aronsson, Mr. Ernst Axel Algot",24,P,--,0,3,Sweden,Passenger,M,21-30
"Asim, Mr. Adola",35,P,--,0,3,Argentina,Passenger,M,31-40
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,P,--,0,3,Sweden,Passenger,M,31-40
"Asplund, Mrs. Selma Augusta Emilia (née Johansson)",38,P,15,1,3,Sweden,Passenger,F,31-40
"Asplund, Master Filip Oscar",13,P,--,0,3,Sweden,Passenger,M,11-20
"Asplund, Master Clarence Gustaf Hugo",9,P,--,0,3,Sweden,Passenger,M,< 10
"Asplund, Master Carl Edgar",5,P,--,0,3,Sweden,Passenger,M,< 10
"Asplund, Miss Lillian Gertrud",5,P,15,1,3,Sweden,Passenger,F,< 10
"Asplund, Master Edvin Rojj Felix",3,P,15,1,3,Sweden,Passenger,M,< 10
"Asplund, Mr. Johan Charles",23,P,13,1,3,Sweden,Passenger,M,21-30
"Assaf, Mrs. Mariyam (née Khalil)",45,P,C,1,3,Lebanon,Passenger,F,41-50
"Assam, Mr. Ali",23,P,--,0,3,Argentina,Passenger,M,21-30
"Attala, Mr. Sleiman",30,P,--,0,3,Canada,Passenger,M,21-30
